	Запросы	URL перехода выдачи	Разница переходов
98	как купить смартфон с хорошей скидкой	https://eldorado.ru/c/smartfony/tag/rasprodazha/	-16.0
99	купить honor 20	https://eldorado.ru/c/smartfony/tag/honor-20-series/	-16.0
104	хуавей р30 про цена	https://eldorado.ru/c/smartfony/f/huawei-p30-p30-pro/	-16.0
89	купить телефон хуавей	https://eldorado.ru/c/smartfony/b/HUAWEI/	-15.0
84	недорогие смартфоны	https://eldorado.ru/c/smartfony/tag/deshevye/	-14.0
18	купить айфон	https://eldorado.ru/c/smartfony/b/APPLE/	-14.0
93	купить недорогой смартфон	https://eldorado.ru/c/smartfony/tag/deshevye/	-13.0
124	iphone x цена	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-13.0
128	купить iphone 10	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-12.0
58	купить смартфон самсунг	https://eldorado.ru/c/smartfony/b/SAMSUNG/	-12.0
114	акции на смартфоны в салонах связи	https://eldorado.ru/c/smartfony/tag/rasprodazha/	-12.0
126	купить iphone	https://eldorado.ru/c/smartfony/b/APPLE/	-11.0
88	купить телефон хонор	https://eldorado.ru/c/smartfony/b/HONOR/	-11.0
136	айфон xr цена	https://eldorado.ru/c/smartfony/b/APPLE/f/iphone-xr/	-10.0
110	недорогой смартфон	https://eldorado.ru/c/smartfony/tag/deshevye/	-10.0
87	купить айфон в рассрочку	https://eldorado.ru/c/smartfony/b/APPLE/	-10.0
130	купить хонор 10	https://eldorado.ru/c/smartfony/tag/honor-10-series/	-9.0
141	смартфон купить недорогой	https://eldorado.ru/c/smartfony/tag/deshevye/	-9.0
140	самсунг до 10000 рублей	https://eldorado.ru/c/smartfony/b/SAMSUNG/tag/tsena-do-10000/	-9.0
77	выгодные предложения на смартфоны	https://eldorado.ru/c/smartfony/tag/rasprodazha/	-9.0
125	samsung galaxy note 20 ultra купить	https://eldorado.ru/c/smartfony/f/samsung_galaxy_note20_note20_ultra/	-9.0
152	акции на телефоны в салонах сотовой связи	https://eldorado.ru/c/smartfony/tag/rasprodazha/	-9.0
117	iphone 11 64gb	https://eldorado.ru/c/smartfony/f/iphone-11/pamyat-64-gb/	-9.0
69	samsung s10 купить	https://eldorado.ru/c/smartfony/f/galaxy-s10-s10e-s10-plus/	-8.0
138	дешевый мобильный телефон	https://eldorado.ru/c/smartfony/tag/deshevye/	-8.0
154	купить смартфон недорогой	https://eldorado.ru/c/smartfony/tag/deshevye/	-8.0
148	iphone 12 pro max 256gb купить	https://eldorado.ru/c/smartfony/tag/iphone-12-pro-max-256gb/	-8.0
149	samsung s20 купить	https://eldorado.ru/c/smartfony/f/galaxy-s20-s20-plus-s20-ultra/	-8.0
27	хонор 20 цена	https://eldorado.ru/c/smartfony/tag/honor-20-series/	-7.0
72	купить айфон 7	https://eldorado.ru/c/smartfony/f/iphone-7/	-7.0
168	купить самсунг галакси s10	https://eldorado.ru/c/smartfony/f/galaxy-s10-s10e-s10-plus/	-7.0
143	iphone 7	https://eldorado.ru/c/smartfony/f/iphone-7/	-7.0
52	хонор 10 цена	https://eldorado.ru/c/smartfony/tag/honor-10-series/	-7.0
164	самсунг за 10000	https://eldorado.ru/c/smartfony/b/SAMSUNG/tag/tsena-do-10000/	-6.0
169	хонор 10 лайт цена	https://eldorado.ru/c/smartfony/	-6.0
121	самсунг до 15000 рублей	https://eldorado.ru/c/smartfony/b/SAMSUNG/tag/tsena-do-15000/	-6.0
120	iphone купить	https://eldorado.ru/c/smartfony/b/APPLE/	-6.0
146	самсунг s20 купить	https://eldorado.ru/c/smartfony/f/galaxy-s20-s20-plus-s20-ultra/	-6.0
172	айфон 11 128 гб купить	https://eldorado.ru/c/smartfony/f/iphone-11/pamyat-128-gb/	-6.0
